,name,desc,marker,marker_class
$P1,As75Di,75As,75As,state
$P2,BCKG190Di,190BCKG,190BCKG,state
$P3,Bi209Di,209Bi_Tbet,Tbet,state
$P4,Cd110Di,110Cd,110Cd,state
$P5,Cd116Di,116Cd,116Cd,state
$P6,Ce140Di,140Ce,140Ce,state
$P7,Center,NA,NA,none
$P8,Cs133Di,133Cs,133Cs,state
$P9,Dy161Di,161Dy_HLADR_APC,HLADR_APC,state
$P10,Dy163Di,163Dy,163Dy,state
$P11,Er162Di,162Er,162Er,state
$P12,Er164Di,164Er_CD86_biotin,CD86_biotin,state
$P13,Er166Di,166Er_IgD,IgD,type
$P14,Er167Di,167Er_FITC,FITC,state
$P15,Er168Di,168Er_Ki67,Ki67,type
$P16,Er170Di,170Er_CD3,CD3,type
$P17,Eu151Di,151Eu_CD39,CD39,state
$P18,Eu153Di,153Eu_CD185_CXCR5,CD185_CXCR5,state
$P19,Event_length,NA,NA,none
$P20,Gd152Di,152Gd_CD66b,CD66b,state
$P21,Gd154Di,154Gd,154Gd,state
$P22,Gd155Di,155Gd_EOMES,EOMES,state
$P23,Gd156Di,156Gd_CD279_PD1,CD279_PD1,state
$P24,Gd157Di,157Gd,157Gd,state
$P25,Gd158Di,158Gd_CD194_CCR4,CD194_CCR4,type
$P26,Gd160Di,160Gd_CD14,CD14,type
$P27,Ho165Di,165Ho_CD16,CD16,type
$P28,In113Di,113In_CD56,CD56,type
$P29,In115Di,115In_CD31,CD31,type
$P30,Ir191Di,191Ir_DNA1,DNA1,state
$P31,Ir193Di,193Ir_DNA2,DNA2,state
$P32,La139Di,139La_CD57,CD57,type
$P33,Lu175Di,175Lu_PE,PE,state
$P34,Lu176Di,176Lu_CD127,CD127,type
$P35,Nd142Di,142Nd_CD19,CD19,type
$P36,Nd143Di,143Nd_CD45RA,CD45RA,type
$P37,Nd144Di,144Nd_TCRgd,TCRgd,state
$P38,Nd145Di,145Nd_CD4,CD4,type
$P39,Nd146Di,146Nd_CD8a,CD8a,type
$P40,Nd148Di,148Nd_CD28,CD28,state
$P41,Nd150Di,150Nd_KLRG1,KLRG1,type
$P42,Offset,NA,NA,none
$P43,Pd102Di,102Pd,102Pd,state
$P44,Pd104Di,104Pd,104Pd,state
$P45,Pd105Di,105Pd,105Pd,state
$P46,Pd106Di,106Pd,106Pd,state
$P47,Pd108Di,108Pd,108Pd,state
$P48,Pr141Di,141Pr_CD27,CD27,type
$P49,Pt194Di,194Pt_Cisplatin,Cisplatin,state
$P50,Pt195Di,195Pt_Cisplatin,Cisplatin,state
$P51,Residual,NA,NA,none
$P52,Rh103Di,103Rh,103Rh,state
$P53,Sm147Di,147Sm_CD45RO,CD45RO,type
$P54,Sm149Di,149Sm_CD366_TIM3,CD366_TIM3,state
$P55,Sn120Di,120Sn,120Sn,state
$P56,Tb159Di,159Tb_CD197_CCR7,CD197_CCR7,type
$P57,Tm169Di,169Tm_CD25,CD25,type
$P58,Xe131Di,131Xe,131Xe,state
$P59,Y89Di,89Y_CD11c,CD11c,type
$P60,Yb171Di,171Yb_Granzyme_B,Granzyme_B,state
$P61,Yb172Di,172Yb_CD38,CD38,type
$P62,Yb173Di,173Yb_IntB7,IntB7,state
$P63,Yb174Di,174Yb,174Yb,state
$P64,Time,NA,NA,none
